YEAR,MO,DY,HR,T2M,WS10M,PRECTOTCORR,RH2M
2014,5,12,0,26.29,1.26,0.01,95.19
2014,5,12,1,26.21,1.2,0.01,95.19
2014,5,12,2,26.25,1.07,0.01,94.56
2014,5,12,3,26.37,0.88,0.01,93.44
2014,5,12,4,26.49,0.76,0.01,92.25
2014,5,12,5,26.49,0.74,0.01,91.88
2014,5,12,6,26.59,0.63,0.01,92.31
2014,5,12,7,27.26,0.5,0.14,93.06
2014,5,12,8,29.08,0.61,0.15,84.94
2014,5,12,9,31.08,0.7,0.17,72
2014,5,12,10,32.51,0.75,0.19,64.19
2014,5,12,11,31.87,0.73,0.27,63.12
2014,5,12,12,32.44,0.86,0.29,62.62
2014,5,12,13,32.62,0.9,0.36,63.19
2014,5,12,14,32.95,0.98,0.31,63.75
2014,5,12,15,32.55,1.03,0.35,64.88
2014,5,12,16,30.71,1.04,0.26,71.88
2014,5,12,17,28.87,0.93,0.17,81.12
2014,5,12,18,27.54,0.83,0.14,88.56
2014,5,12,19,27.39,0.71,0.12,86.25
2014,5,12,20,27.4,0.53,0.1,82.44
2014,5,12,21,26.93,0.6,0.07,85.19
2014,5,12,22,26.12,0.88,0.04,90.56
2014,5,12,23,25.44,0.98,0.04,93.19
2014,5,13,0,24.87,0.9,0.04,94.56
2014,5,13,1,24.45,0.95,0.06,95.69
2014,5,13,2,24.09,0.89,0.09,96.62
2014,5,13,3,23.85,0.77,0.11,97.44
2014,5,13,4,23.69,0.69,0.11,97.81
2014,5,13,5,23.59,0.81,0.1,97.75
2014,5,13,6,23.86,0.76,0.09,97.25
2014,5,13,7,26.63,0.73,0.03,88.56
2014,5,13,8,29.87,0.81,0.03,70.06
2014,5,13,9,31.36,1.08,0.05,62.75
2014,5,13,10,31.38,1.3,0.04,59.25
2014,5,13,11,32.08,1.46,0.05,56.88
2014,5,13,12,32.48,1.62,0.04,55.5
2014,5,13,13,32.54,1.78,0.03,55.38
2014,5,13,14,32.12,1.82,0.03,57.25
2014,5,13,15,31.45,1.71,0.02,60.12
2014,5,13,16,30.4,1.36,0.02,66.75
2014,5,13,17,29.01,1.13,0.02,78.25
2014,5,13,18,27.21,1.25,0.02,87.75
2014,5,13,19,26.8,1.29,0.02,88.88
2014,5,13,20,26.62,1.24,0.02,89.25
2014,5,13,21,26.57,1.2,0.03,88.81
2014,5,13,22,26.46,1.19,0.03,88.94
2014,5,13,23,26.22,1.16,0.04,89.44
2014,5,14,0,26,1.1,0.04,89.62
2014,5,14,1,25.76,1.06,0.05,89.88
2014,5,14,2,25.49,1.05,0.05,90.56
2014,5,14,3,25.1,1.16,0.05,92.69
2014,5,14,4,24.58,1.25,0.05,95.5
2014,5,14,5,24.35,1.1,0.06,97.06
2014,5,14,6,24.84,1.07,0.06,96.5
2014,5,14,7,26.23,1.09,0.13,92.5
2014,5,14,8,27.94,1.25,0.13,83.94
2014,5,14,9,28.87,1.52,0.16,76.69
2014,5,14,10,29.4,1.78,0.17,74.38
2014,5,14,11,29.49,1.9,0.2,73.56
2014,5,14,12,29.33,1.93,0.19,74.25
2014,5,14,13,28.97,1.88,0.18,75.94
2014,5,14,14,28.51,1.8,0.14,78.31
2014,5,14,15,27.74,1.6,0.11,82.81
2014,5,14,16,27.07,1.28,0.08,87.94
2014,5,14,17,26.5,1.07,0.05,92.38
2014,5,14,18,25.92,0.96,0.03,96
2014,5,14,19,25.75,1,0.03,96.88
2014,5,14,20,25.51,0.99,0.02,97.75
2014,5,14,21,25.36,0.98,0.02,98.12
2014,5,14,22,25.2,0.95,0.02,98.44
2014,5,14,23,25.05,1.05,0.02,98.38
2014,5,15,0,24.94,1.28,0.03,97.81
2014,5,15,1,24.82,1.32,0.03,97.31
2014,5,15,2,24.69,1.35,0.03,96.94
2014,5,15,3,24.7,1.3,0.03,96
2014,5,15,4,24.71,1.25,0.03,95.19
2014,5,15,5,24.75,1.19,0.03,94.38
2014,5,15,6,25.01,1.01,0.02,95.06
2014,5,15,7,26.9,0.79,0.13,91.69
2014,5,15,8,29.68,0.62,0.16,74.06
2014,5,15,9,31.79,0.67,0.23,60.81
2014,5,15,10,31.53,0.64,0.28,58.56
2014,5,15,11,32.34,0.69,0.64,55.19
2014,5,15,12,32.78,0.89,0.49,54.06
2014,5,15,13,32.86,1.12,0.56,54.38
2014,5,15,14,32.6,1.29,0.4,56.25
2014,5,15,15,32.19,1.25,0.47,61.69
2014,5,15,16,31.89,1.16,0.31,66.12
2014,5,15,17,29.64,1.03,0.23,77.5
2014,5,15,18,27.62,1.26,0.22,87.44
2014,5,15,19,26.98,1.34,0.22,89.69
2014,5,15,20,26.62,1.41,0.22,91
2014,5,15,21,26.43,1.4,0.22,91.31
2014,5,15,22,26.3,1.33,0.23,91.31
2014,5,15,23,26.09,1.28,0.25,91.81
2014,5,16,0,25.78,1.27,0.27,92.94
2014,5,16,1,25.52,1.22,0.27,93.69
2014,5,16,2,25.49,1.21,0.28,93.44
2014,5,16,3,25.33,1.2,0.29,94.62
2014,5,16,4,25.08,1.14,0.28,95.5
2014,5,16,5,24.88,1.14,0.25,95.88
2014,5,16,6,25.15,1,0.25,96.62
2014,5,16,7,26.81,0.98,0.22,95.19
2014,5,16,8,29.13,1.12,0.24,83.81
