YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,WD10M
1985,1,1,29.33,21.45,24.76,87.31,2.29,2.37,0.98,24.06
1985,1,2,29.19,21.63,24.8,89.88,3.3,2.42,1.2,84.44
1985,1,3,28.25,21.95,24.34,90.56,2.69,2.15,1.14,27.25
1985,1,4,29.76,21.26,24.93,84.81,1.42,1.34,0.57,116.44
1985,1,5,29.86,22.03,24.93,86.25,1.95,2.1,0.84,40.12
1985,1,6,30.07,21.43,25.12,86.19,2.77,1.97,0.59,36.12
1985,1,7,25.33,21.98,23.44,91.06,0.54,1.98,0.58,30.94
1985,1,8,30.11,21,24.9,85.56,0.58,2.3,1.06,32.81
1985,1,9,30.05,21.37,24.98,86.19,0.92,2.5,1.12,45
1985,1,10,29.1,21.09,24.31,87.31,1.75,2.16,1.09,29.06
1985,1,11,29.94,20.39,24.58,84.56,0.09,2.12,0.95,43.94
1985,1,12,30.15,20.12,24.47,83.94,0,2.33,1.22,45.75
1985,1,13,30.08,21.03,24.54,84.75,0,2.48,1.53,44.38
1985,1,14,29,20.13,23.73,84.81,0,2.98,1.52,42.94
1985,1,15,28.94,19.64,23.58,85.31,0,2.91,1.5,38.12
1985,1,16,29.05,19.37,23.59,83.81,0,2.45,1.23,35.88
1985,1,17,30.58,19.54,24.86,79.19,0,1.84,0.48,125
1985,1,18,30.3,20.28,25.07,83.94,0,1.7,0.72,22.94
1985,1,19,29.92,21.5,24.87,84.88,0,2.29,1.24,38.5
1985,1,20,30.06,20.26,24.48,83.69,0,2.49,1.38,43.12
1985,1,21,30.06,21.03,24.87,85.19,0,1.95,1.3,50.44
1985,1,22,30.34,21.58,25.15,85.75,0.61,2.36,1.34,49.38
1985,1,23,31.07,20.87,25.46,83.88,0.15,1.93,0.9,51.44
1985,1,24,30.73,21.43,25.38,84.31,1.76,2.05,1.26,48.25
1985,1,25,30.04,21.12,24.95,86.44,12.37,1.55,0.78,51.81
1985,1,26,30.36,22.01,25.27,87.75,13.47,2.1,1.3,46.56
1985,1,27,29.62,21.78,24.84,87.94,3.29,2.88,1.28,44.06
1985,1,28,30.68,21.45,25.23,85.5,0.05,2.48,1.3,41.75
1985,1,29,29.28,22.02,24.92,88.19,1.85,2.56,1.3,44.62
